key,item_fat_content,item_identifier,item_MRP,item_outlet_sales,item_type,item_weight,outlet_identifier,outlet_location_type,outlet_size,outlet_type,source,outlet_years,item_visibility_mean_ratio
23,Low Fat,FDC37,107.6938,214.3876,Food,15.5,OUT019,Tier 1,Small,Grocery Store,train,28,1.747740015
24,Regular,FDR28,165.021,4078.025,Food,13.85,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998447685
25,Non-Edible,NCD06,45.906,838.908,Non-consumable,13,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.004095308
26,Regular,FDV10,42.3112,1065.28,Food,7.645,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.99912868
27,Low Fat,DRJ59,39.1164,308.9312,Drink,11.65,OUT013,Tier 3,High,Supermarket Type1,train,26,0.997616838
28,Regular,FDE51,45.5086,178.4344,Food,5.925,OUT010,Tier 3,Small,Grocery Store,train,15,1.671196711
29,Regular,FDC14,43.6454,125.8362,Food,14.5,OUT019,Tier 1,Small,Grocery Store,train,28,1.747740073
30,Low Fat,FDV38,55.7956,163.7868,Food,19.25,OUT010,Tier 3,Small,Grocery Store,train,15,1.670801942
31,Non-Edible,NCS17,96.4436,2741.7644,Non-consumable,18.6,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.003293654
32,Low Fat,FDP33,256.6672,3068.0064,Food,18.7,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.040939407
33,Low Fat,FDO23,93.1436,2174.5028,Food,17.85,OUT045,Tier 2,Small,Supermarket Type1,train,11,0.972921313
34,Low Fat,DRH01,174.8738,2085.2856,Drink,17.5,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998447687
35,Non-Edible,NCX29,146.7102,3791.0652,Non-consumable,10,OUT049,Tier 1,Medium,Supermarket Type1,train,14,0.999763778
36,Regular,FDV20,128.0678,2797.6916,Food,20.2,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993377938
37,Regular,DRZ11,122.5388,1609.9044,Drink,8.85,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.003293647
38,Regular,FDX10,36.9874,388.1614,Food,6.385,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.995157461
39,Low Fat,FDB34,87.6198,2180.495,Food,15.25,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993612667
40,Low Fat,FDU02,230.6352,3435.528,Food,13.35,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998447681
41,Low Fat,FDK43,126.002,2150.534,Food,9.8,OUT013,Tier 3,High,Supermarket Type1,train,26,0.997616814
42,Low Fat,FDA46,192.9136,2527.3768,Food,13.6,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1
43,Low Fat,FDC02,259.9278,6768.5228,Food,21.35,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002514933
44,Regular,FDL50,126.5046,373.5138,Food,12.15,OUT013,Tier 3,High,Supermarket Type1,train,26,0.997616807
45,Low Fat,FDM39,178.1002,358.2004,Food,6.42,OUT010,Tier 3,Small,Grocery Store,train,15,1.670801954
46,Non-Edible,NCP05,153.3024,2428.8384,Non-consumable,19.6,OUT045,Tier 2,Small,Supermarket Type1,train,11,0.741915223
47,Low Fat,FDV49,265.2226,5815.0972,Food,10,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000472565
48,Regular,FDL12,60.622,2576.646,Food,15.85,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998211819
49,Regular,FDS02,196.8794,780.3176,Food,10.195,OUT019,Tier 1,Small,Grocery Store,train,28,1.75087092
50,Non-Edible,NCL17,143.8812,3134.5864,Non-consumable,7.39,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998211819
51,Low Fat,FDM40,141.5154,850.8924,Food,10.195,OUT013,Tier 3,High,Supermarket Type1,train,26,0.999167828
52,Regular,FDR13,117.0492,810.9444,Food,9.895,OUT013,Tier 3,High,Supermarket Type1,train,26,0.997381143
53,Low Fat,FDA43,196.3794,3121.2704,Food,10.895,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.003858108
54,Non-Edible,NCP18,151.4708,4815.0656,Non-consumable,12.15,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.004095318
55,Low Fat,FDK21,249.0408,6258.52,Food,7.905,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002514987
56,Non-Edible,NCX54,106.1622,2117.244,Non-consumable,9.195,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000472571
57,Low Fat,DRK35,38.0506,796.9626,Drink,8.365,OUT049,Tier 1,Medium,Supermarket Type1,train,14,0.999763773
58,Low Fat,FDY21,194.511,4910.275,Food,15.1,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.999223235
59,Low Fat,FDI26,180.0344,892.172,Food,5.94,OUT019,Tier 1,Small,Grocery Store,train,28,1.748152993
60,Low Fat,FDM20,246.9144,3185.1872,Food,10,OUT018,Tier 3,Medium,Supermarket Type2,train,4,0.942555665
61,Regular,FDV27,87.3514,1062.6168,Food,7.97,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.001012988
62,Low Fat,FDF09,38.2848,484.7024,Food,6.215,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993612728
63,Regular,FDY40,51.0692,147.8076,Food,15.5,OUT019,Tier 1,Small,Grocery Store,train,28,1.75103646
64,Low Fat,FDY45,255.8356,2543.356,Food,17.5,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993612629
65,Low Fat,FDC46,185.4266,184.4266,Food,17.7,OUT010,Tier 3,Small,Grocery Store,train,15,1.671196719
66,Low Fat,FDH19,172.5738,4865.6664,Food,19.35,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998258867
67,Regular,FDZ03,186.024,1118.544,Food,13.65,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.001249684
68,Low Fat,DRH37,164.8526,2302.3364,Drink,17.6,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000236227
69,Non-Edible,NCI17,95.841,2027.361,Non-consumable,8.645,OUT046,Tier 1,Small,Supermarket Type1,train,16,1
70,Regular,FDJ58,170.1764,3435.528,Food,15.6,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998211816
71,Regular,FDL12,59.222,599.22,Food,15.85,OUT013,Tier 3,High,Supermarket Type1,train,26,0.997381129
72,Low Fat,FDH35,164.7526,4604.6728,Food,18.25,OUT045,Tier 2,Small,Supermarket Type1,train,11,0.964357323
73,Low Fat,FDG02,189.6188,2285.0256,Food,7.855,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.004095251
74,Non-Edible,NCZ18,254.3698,5580.7356,Non-consumable,7.825,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1.001554734
75,Regular,FDC29,114.0176,2290.352,Food,8.39,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.999223244
76,Low Fat,FDQ10,172.3422,1207.0954,Food,12.85,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1
77,Low Fat,FDN48,89.9804,643.1628,Food,13.35,OUT019,Tier 1,Small,Grocery Store,train,28,1.747740046
78,Low Fat,FDL04,104.9622,1587.933,Food,19,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.004095312
79,Low Fat,FDV25,222.5456,5305.0944,Food,5.905,OUT045,Tier 2,Small,Supermarket Type1,train,11,0.972921316
80,Low Fat,FDD58,101.87,1697.79,Food,7.76,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998211822
81,Regular,FDN04,180.3344,1427.4752,Food,11.8,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.999223224
82,Low Fat,FDV45,187.9556,4693.89,Food,16.75,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002514946
83,Non-Edible,NCL18,194.6136,583.2408,Non-consumable,18.85,OUT019,Tier 1,Small,Grocery Store,train,28,1.748153007
84,Regular,FDR12,171.3764,3091.9752,Food,12.6,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993377928
85,Regular,FDG20,177.0028,2479.4392,Food,15.5,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.004095308
86,Low Fat,FDZ55,160.992,2716.464,Food,6.055,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.99903431
87,Regular,FDQ49,155.963,3285.723,Food,20.2,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.992364778
88,Regular,FDN33,95.6436,661.8052,Food,6.305,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.999223234
89,Low Fat,FDN27,117.2808,1523.3504,Food,20.85,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1.001744153
90,Low Fat,FDW20,122.173,369.519,Food,20.75,OUT010,Tier 3,Small,Grocery Store,train,15,1.671196708
91,Low Fat,DRG27,39.9138,690.4346,Drink,8.895,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1.001554732
92,Low Fat,DRI25,55.1614,1381.535,Drink,19.6,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000472549
93,Low Fat,FDA44,57.893,622.523,Food,19.7,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998258884
94,Non-Edible,NCR17,114.5492,1274.3412,Non-consumable,9.8,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.99903427
95,Low Fat,FDU04,120.0414,487.3656,Food,7.93,OUT019,Tier 1,Small,Grocery Store,train,28,1.751202278
96,Low Fat,FDF41,246.046,1231.73,Food,12.15,OUT049,Tier 1,Medium,Supermarket Type1,train,14,0.999763779
97,Regular,FDB56,187.4556,3755.112,Food,8.75,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.9990343
98,Non-Edible,NCP18,149.9708,4363.6532,Non-consumable,12.15,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993612651
99,Regular,FDB56,187.8556,1314.2892,Food,8.75,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.99922324
100,Low Fat,FDT28,151.0708,1805.6496,Food,13.3,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000472567
101,Regular,FDD10,178.5344,2854.9504,Food,20.6,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993612634
102,Regular,FDW57,179.1028,3896.2616,Food,8.31,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1.000871317
103,Regular,DRB48,38.7822,667.7974,Drink,16.75,OUT013,Tier 3,High,Supermarket Type1,train,26,0.997616797
104,Low Fat,FDP09,212.0902,3185.853,Food,19.75,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002278106
105,Regular,FDH14,141.1838,2247.7408,Food,17.1,OUT013,Tier 3,High,Supermarket Type1,train,26,0.997381132
106,Regular,FDA47,163.121,1794.331,Food,10.5,OUT013,Tier 3,High,Supermarket Type1,train,26,0.999167825
107,Regular,FDG12,121.3098,2530.7058,Food,6.635,OUT045,Tier 2,Small,Supermarket Type1,train,11,0.778527336
108,Low Fat,DRE60,225.372,679.116,Drink,9.395,OUT019,Tier 1,Small,Grocery Store,train,28,1.748152997
109,Low Fat,DRK49,41.4138,812.276,Drink,14.15,OUT013,Tier 3,High,Supermarket Type1,train,26,0.998391706
110,Low Fat,FDD03,232.53,699.09,Food,13.3,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.999223234
111,Low Fat,FDS52,102.4016,2732.4432,Food,8.89,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.003857997
112,Regular,FDW39,176.937,176.437,Food,6.69,OUT019,Tier 1,Small,Grocery Store,train,28,1.751765408
113,Low Fat,FDX34,121.7098,4097.3332,Food,6.195,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.994384451
114,Regular,FDV11,173.2054,3151.8972,Food,9.1,OUT045,Tier 2,Small,Supermarket Type1,train,11,0.959246995
115,Low Fat,FDD17,239.0906,5942.265,Food,7.5,OUT049,Tier 1,Medium,Supermarket Type1,train,14,0.998508487
116,Regular,FDZ16,192.4478,4843.695,Food,16.85,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.003858115
117,Low Fat,FDZ46,109.0228,2542.0244,Food,7.485,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.999034302
118,Low Fat,DRA12,140.3154,2552.6772,Drink,11.6,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.005656415
119,Low Fat,FDY58,227.0694,1141.847,Food,11.65,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002278127
120,Non-Edible,NCF19,47.5034,680.4476,Non-consumable,13,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.003858124
121,Low Fat,DRJ13,159.0578,2085.9514,Drink,12.65,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.00047255
122,Regular,FDB14,92.512,186.424,Food,20.25,OUT010,Tier 3,Small,Grocery Store,train,15,1.672494843
123,Regular,FDJ38,190.153,3036.048,Food,8.6,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998258868
124,Low Fat,FDW11,62.7194,866.8716,Food,12.6,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.004095323
125,Low Fat,FDL40,95.041,868.869,Food,17.7,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.999905443
126,Low Fat,DRI49,82.4276,1137.1864,Drink,14.15,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.999223237
127,Low Fat,FDV38,52.7956,928.1252,Food,19.25,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.003858114
128,Low Fat,DRG23,151.7682,762.341,Drink,8.88,OUT013,Tier 3,High,Supermarket Type1,train,26,0.999167827
129,Non-Edible,NCP30,40.2822,707.0796,Non-consumable,20.5,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.001249704
130,Low Fat,FDY25,180.5976,7968.2944,Food,12,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.99525154
131,Non-Edible,NCH54,160.292,1438.128,Non-consumable,13.5,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.997976077
132,Non-Edible,NCR53,224.4404,6976.2524,Non-consumable,12.15,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993377935
133,Low Fat,FDS52,101.7016,101.2016,Food,8.89,OUT010,Tier 3,Small,Grocery Store,train,15,1.670801817
134,Low Fat,FDG02,188.5188,952.094,Food,7.855,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002514924
135,Non-Edible,NCO26,116.0492,1969.4364,Non-consumable,7.235,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.99844768
136,Low Fat,FDH35,165.4526,5262.4832,Food,18.25,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.99515745
137,Low Fat,FDB51,60.5852,1314.2892,Food,6.92,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.001249689
138,Low Fat,FDX44,90.8172,535.3032,Food,9.3,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.004095313
139,Non-Edible,NCN07,132.1284,263.6568,Non-consumable,18.5,OUT010,Tier 3,Small,Grocery Store,train,15,1.670801928
140,Non-Edible,NCC31,154.5972,1402.1748,Non-consumable,8.02,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.99676997
141,Non-Edible,NCX54,105.1622,1693.7952,Non-consumable,9.195,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.004095309
142,Non-Edible,NCO55,105.5938,2143.876,Non-consumable,12.8,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000236222
143,Non-Edible,NCC30,177.6344,2676.516,Non-consumable,16.6,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1
144,Regular,FDI16,53.064,905.488,Food,14,OUT035,Tier 2,Small,Supermarket Type1,train,9,1.040057385
145,Low Fat,FDP16,246.3802,7370.406,Food,18.6,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1
146,Low Fat,FDB11,226.8404,6301.1312,Food,16,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998258887
147,Non-Edible,NCB06,160.692,1597.92,Non-consumable,17.6,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998258879
148,Low Fat,FDA45,178.237,529.311,Food,21.25,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.999905445
149,Non-Edible,NCO26,117.5492,1969.4364,Non-consumable,7.235,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998258879
150,Low Fat,DRJ25,50.3692,1034.6532,Drink,14.6,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.004095308
151,Regular,FDR28,161.521,1794.331,Food,13.85,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002514926
152,Regular,FDI04,197.6426,2768.3964,Food,13.65,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002278116
153,Low Fat,DRK12,31.29,898.83,Drink,9.5,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.995157464
154,Low Fat,FDX20,226.172,3169.208,Food,7.365,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998447676
155,Non-Edible,NCI18,223.5746,3589.9936,Non-consumable,18.35,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.00329364
156,Regular,FDB36,132.5626,262.3252,Food,5.465,OUT018,Tier 3,Medium,Supermarket Type2,train,4,0.627006624
157,Low Fat,FDN13,99.8358,1910.1802,Food,18.6,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.004095304
158,Low Fat,DRD24,140.9154,1701.7848,Drink,13.85,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.003858105
159,Regular,FDQ28,154.5656,2471.4496,Food,14,OUT013,Tier 3,High,Supermarket Type1,train,26,0.99738114
160,Regular,FDM22,54.764,1331.6,Food,14,OUT013,Tier 3,High,Supermarket Type1,train,26,0.996128846
161,Low Fat,FDR07,97.0094,1808.9786,Food,21.35,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993377941
162,Low Fat,FDV25,222.5456,3315.684,Food,5.905,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.004073579
163,Low Fat,DRF49,114.2518,2618.5914,Drink,7.27,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998447683
164,Regular,FDW51,214.556,2769.728,Food,6.155,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998447679
165,Regular,DRL01,233.4958,5375.0034,Drink,19.5,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.002597685
166,Low Fat,FDP25,216.8824,2838.9712,Food,15.2,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.003858109
167,Regular,FDL50,125.0046,1743.0644,Food,12.15,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002514933
168,Non-Edible,NCB30,198.8084,5555.4352,Non-consumable,14.6,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.99361266
169,Low Fat,FDW11,61.9194,619.194,Food,12.6,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002514945
170,Non-Edible,NCM43,164.821,2120.573,Non-consumable,14.5,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998023066
171,Low Fat,FDK44,173.0738,3823.0236,Food,16.6,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.004095313
172,Regular,FDM15,151.4366,1360.2294,Food,11.8,OUT013,Tier 3,High,Supermarket Type1,train,26,0.999167822
173,Regular,FDS31,178.8318,3969.4996,Food,13.1,OUT013,Tier 3,High,Supermarket Type1,train,26,0.999356804
174,Low Fat,FDI32,115.1834,345.5502,Food,17.7,OUT010,Tier 3,Small,Grocery Store,train,15,1.673953253
175,Low Fat,FDR47,196.5794,585.2382,Food,17.85,OUT010,Tier 3,Small,Grocery Store,train,15,0.975073996
176,Regular,FDB35,92.6804,1010.6844,Food,12.3,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000236226
177,Non-Edible,NCU05,81.4618,161.1236,Non-consumable,11.8,OUT010,Tier 3,Small,Grocery Store,train,15,1.671196732
178,Regular,DRY23,42.1112,42.6112,Drink,9.395,OUT019,Tier 1,Small,Grocery Store,train,28,1.748153
179,Low Fat,FDO24,157.4604,3010.7476,Food,11.1,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.00212277
180,Regular,FDQ28,153.0656,6024.1584,Food,14,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993377939
181,Low Fat,FDV39,198.1426,988.713,Food,11.3,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.002027916
182,Non-Edible,NCO17,117.944,239.688,Non-consumable,10,OUT019,Tier 1,Small,Grocery Store,train,28,1.748153012
183,Regular,FDU50,112.8176,1374.2112,Food,5.75,OUT013,Tier 3,High,Supermarket Type1,train,26,0.999262298
184,Regular,FDT12,226.8062,4739.8302,Food,6.215,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.994384455
185,Regular,FDK58,100.0016,1012.016,Food,11.35,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002514933
186,Regular,FDO08,165.7526,657.8104,Food,11.1,OUT019,Tier 1,Small,Grocery Store,train,28,1.747740043
187,Non-Edible,NCW29,130.431,778.986,Non-consumable,14,OUT049,Tier 1,Medium,Supermarket Type1,train,14,0.999763788
188,Regular,FDE04,179.766,2336.958,Food,19.75,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000472548
189,Non-Edible,NCB19,85.0882,2233.0932,Non-consumable,6.525,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1
190,Low Fat,FDV15,103.9648,1661.8368,Food,10.3,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1
191,Regular,FDL58,264.7568,4745.8224,Food,5.78,OUT049,Tier 1,Medium,Supermarket Type1,train,14,0.999763778
192,Regular,FDA08,164.1526,3124.5994,Food,11.85,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000472559
193,Low Fat,FDT43,50.1324,467.3916,Food,16.35,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002278093
194,Non-Edible,NCX06,182.5976,5070.7328,Non-consumable,17.6,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993377981
195,Low Fat,FDT20,37.6164,540.6296,Food,10.5,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998447677
196,Regular,FDB41,48.0718,992.7078,Food,19,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998211826
197,Non-Edible,NCN55,238.8538,6008.845,Non-consumable,14.6,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1
198,Regular,FDE40,62.9194,2105.2596,Food,15.6,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.995157456
199,Regular,FDX49,232.63,5359.69,Food,4.615,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.995157455
200,Non-Edible,NCM53,104.628,745.696,Non-consumable,18.75,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000472566
201,Regular,FDE36,161.8868,3275.736,Food,5.26,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.996769963
202,Low Fat,FDN57,140.2154,1701.7848,Food,18.25,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000472564
203,Low Fat,FDI24,177.937,6704.606,Food,10.3,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993612653
204,Low Fat,FDI19,242.7512,4119.9704,Food,15.1,OUT046,Tier 1,Small,Supermarket Type1,train,16,1.000094556
205,Regular,FDF24,81.5934,327.5736,Food,15.5,OUT010,Tier 3,Small,Grocery Store,train,15,1.671196736
206,Low Fat,FDG52,45.7402,780.9834,Food,13.65,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1.000776767
207,Low Fat,DRF36,189.3846,3630.6074,Drink,16.1,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.00047256
208,Regular,FDS45,107.3622,317.5866,Food,5.175,OUT019,Tier 1,Small,Grocery Store,train,28,1.747740018
209,Low Fat,FDX40,39.7164,231.6984,Food,12.85,OUT010,Tier 3,Small,Grocery Store,train,15,1.668704101
210,Low Fat,DRK12,32.99,133.16,Drink,9.5,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.999810917
211,Low Fat,DRC27,245.1802,5650.6446,Drink,13.8,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998023075
212,Regular,FDL58,263.7568,2636.568,Food,5.78,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.040781411
213,Non-Edible,NCD30,96.0726,1272.3438,Non-consumable,19.7,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000472574
214,Non-Edible,NCZ54,161.5552,324.9104,Non-consumable,14.65,OUT010,Tier 3,Small,Grocery Store,train,15,0.975073995
215,Regular,FDE10,130.0626,131.1626,Food,6.67,OUT010,Tier 3,Small,Grocery Store,train,15,1.673794991
216,Regular,FDR44,131.2968,260.9936,Food,6.11,OUT010,Tier 3,Small,Grocery Store,train,15,0.889716549
217,Regular,FDP28,260.0936,260.9936,Food,13.65,OUT010,Tier 3,Small,Grocery Store,train,15,1.671196712
218,Low Fat,FDX15,160.6578,3690.5294,Food,17.2,OUT013,Tier 3,High,Supermarket Type1,train,26,0.998391709
